,genres,level_0
566,Biography|Drama|Thriller,"[u'The Insider\xc2' u'Captain Phillips\xc2' u'Fair Game\xc2'
 u'The Fifth Estate\xc2' u'A Dangerous Method\xc2'
 u""The Devil's Double\xc2"" u'Margin Call\xc2']"
567,Biography|Drama|Thriller|War,[u'Michael Collins\xc2' u'The Imitation Game\xc2']
568,Biography|Drama|War,"[u'There Be Dragons\xc2' u'The Pianist\xc2'
 u'Born on the Fourth of July\xc2' u'Patton\xc2']"
569,Comedy,"[u'10,000 B.C.\xc2' u'The Campaign\xc2' u'The Hangover Part II\xc2'
 u'Grown Ups 2\xc2' u'Jack and Jill\xc2' u'Grown Ups\xc2' u'Ted 2\xc2'
 u'Dinner for Schmucks\xc2' u'Last Man Standing\xc2' u'Step Brothers\xc2'
 u'Couples Retreat\xc2' u'The Internship\xc2' u""That's My Boy\xc2""
 u'Meet the Parents\xc2' u'Bowfinger\xc2' u'Stuck on You\xc2'
 u'Me, Myself & Irene\xc2' u'Anchorman 2: The Legend Continues\xc2'
 u'American Reunion\xc2' u'Zoolander 2\xc2' u'Scary Movie 3\xc2'
 u'Scary Movie 2\xc2' u'Br\xc3_no\xc2' u'The Interview\xc2'
 u'The Big Year\xc2' u'Scary Movie 4\xc2' u'Dumb and Dumber To\xc2'
 u'Sex Tape\xc2' u'The Out-of-Towners\xc2' u'Duplex\xc2'
 u'The Last Shot\xc2' u'Sgt. Bilko\xc2' u'Head of State\xc2'
 u'The Hangover\xc2' u'In & Out\xc2' u'Neighbors 2: Sorority Rising\xc2'
 u'This Is 40\xc2' u'Unfinished Business\xc2' u'Wanderlust\xc2'
 u'The Three Stooges\xc2' u'The Big Wedding\xc2'
 u'The Incredible Burt Wonderstone\xc2' u'American Pie 2\xc2'
 u'The First Wives Club\xc2' u'Meet the Spartans\xc2'
 u'Dumb and Dumberer: When Harry Met Lloyd\xc2' u'The Boss\xc2'
 u'Role Models\xc2' u'Zoolander\xc2'
 u""It's Always Sunny in Philadelphia\xc2""
 u'Legally Blonde 2: Red, White & Blonde\xc2'
 u'Anchorman: The Legend of Ron Burgundy\xc2' u'Beauty Shop\xc2'
 u'The Sitter\xc2' u'EuroTrip\xc2' u'Hot Rod\xc2' u'Old School\xc2'
 u'Deuce Bigalow: European Gigolo\xc2'
 u'Jay and Silent Bob Strike Back\xc2' u'I Heart Huckabees\xc2'
 u'Death at a Funeral\xc2' u'Bringing Down the House\xc2' u'Tammy\xc2'
 u'Bad Moms\xc2' u'Meet the Browns\xc2' u'Vampires Suck\xc2'
 u'Scary Movie 5\xc2' u'Under the Rainbow\xc2'
 u'School for Scoundrels\xc2' u'Fired Up\xc2' u'Disaster Movie\xc2'
 u'Envy\xc2' u'Be Kind Rewind\xc2' u'Deconstructing Harry\xc2'
 u'Bad Teacher\xc2' u'Neighbors\xc2'
 u'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan\xc2'
 u'Mean Girls\xc2' u'Love the Coopers\xc2' u'Superbad\xc2'
 u""Let's Be Cops\xc2"" u'Beerfest\xc2'
 u'Dickie Roberts: Former Child Star\xc2' u'Lottery Ticket\xc2'
 u'Dumb & Dumber\xc2' u'Road Trip\xc2' u'Radio Days\xc2'
 u'The Cookout\xc2' u'Soul Plane\xc2' u'Bad Grandpa\xc2'
 u'Not Another Teen Movie\xc2' u'Freddy Got Fingered\xc2' u'The Muse\xc2'
 u'Boat Trip\xc2' u'Towering Inferno\xc2' u'Dead Man on Campus\xc2'
 u'The Last Godfather\xc2' u'The New Guy\xc2' u'Dirty Work\xc2'
 u'Dick\xc2' u'21 & Over\xc2' u'American Pie\xc2'
 u'Ace Ventura: Pet Detective\xc2' u'Johnson Family Vacation\xc2'
 u""My Baby's Daddy\xc2"" u'How to Be a Player\xc2' u'Sorority Boys\xc2'
 u'For Your Consideration\xc2' u'Breakfast of Champions\xc2'
 u'Dirty Grandpa\xc2' u""St. Trinian's\xc2""
 u'History of the World: Part I\xc2' u'The Ladies Man\xc2' u'Tomcats\xc2'
 u'Lovesick\xc2' u'Housefull\xc2' u'The Goods: Live Hard, Sell Hard\xc2'
 u'Office Space\xc2' u'Movie 43\xc2' u'Cedar Rapids\xc2'
 u'Bucky Larson: Born to Be a Star\xc2' u'The Brothers Solomon\xc2'
 u'An Alan Smithee Film: Burn Hollywood Burn\xc2' u'Good Intentions\xc2'
 u'Next Friday\xc2' u'Trading Places\xc2' u'PCU\xc2' u'Barbecue\xc2'
 u'Baggage Claim\xc2' u'The DUFF\xc2' u'Held Up\xc2' u'Outside Bet\xc2'
 u'Flirting with Disaster\xc2' u'I Hope They Serve Beer in Hell\xc2'
 u'Chairman of the Board\xc2' u'The Extra Man\xc2'
 u'Dazed and Confused\xc2' u'Best in Show\xc2' u'College\xc2'
 u'Surfer, Dude\xc2' u'Stiff Upper Lips\xc2' u'Clerks II\xc2'
 u'Fifty Shades of Black\xc2' u""Grandma's Boy\xc2""
 u'Keeping Up with the Steins\xc2' u'Christmas Eve\xc2' u'Without Men\xc2'
 u'Police Academy\xc2' u""Moms' Night Out\xc2""
 u""R.L. Stine's Monsterville: The Cabinet of Souls\xc2"" u""Porky's\xc2""
 u'The Wash\xc2' u'3 Strikes\xc2' u'Waiting for Guffman\xc2'
 u'Love Stinks\xc2' u'The Big Tease\xc2' u'An Everlasting Piece\xc2'
 u'Airplane!\xc2' u'I Got the Hook Up\xc2' u'High Anxiety\xc2'
 u'The Opposite Sex\xc2' u'Animal House\xc2' u'Waking Ned Devine\xc2'
 u""Trippin'\xc2"" u'Phat Girlz\xc2'
 u""Tim and Eric's Billion Dollar Movie\xc2""
 u'My Big Fat Independent Movie\xc2' u'The Deported\xc2'
 u'They Came Together\xc2'
 u'30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo\xc2'
 u'Four Single Fathers\xc2' u'Young Frankenstein\xc2'
 u'Everything You Always Wanted to Know About Sex * But Were Afraid to Ask\xc2'
 u'Strangers with Candy\xc2' u'The Virginity Hit\xc2' u'Bananas\xc2'
 u'Coffee Town\xc2'
 u'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb\xc2'
 u'Road Hard\xc2' u'The Hebrew Hammer\xc2'
 u'The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It\xc2'
 u'Extreme Movie\xc2' u'Waiting...\xc2' u'Frat Party\xc2' u'Jesse\xc2'
 u'L!fe Happens\xc2' u'For a Good Time, Call...\xc2' u'Not Cool\xc2'
 u'Hav Plenty\xc2' u'The Kentucky Fried Movie\xc2'
 u'Julija in alfa Romeo\xc2' u'High Road\xc2'
 u'Finishing the Game: The Search for a New Bruce Lee\xc2'
 u'The Living Wake\xc2' u'Napoleon Dynamite\xc2' u'Little Big Top\xc2'
 u'The Woman Chaser\xc2' u""A Dog's Breakfast\xc2""
 u'The Work and the Story\xc2' u'Hollywood Shuffle\xc2' u'The FP\xc2'
 u'Supporting Characters\xc2' u'A True Story\xc2'
 u'Mutual Appreciation\xc2' u'Clerks\xc2']"
570,Comedy|Crime,"[u'Fun with Dick and Jane\xc2' u'Lucky Numbers\xc2' u'Littleman\xc2'
 u'Starsky & Hutch\xc2' u'Analyze That\xc2' u'The Big Bounce\xc2'
 u'Get Hard\xc2' u""Big Momma's House 2\xc2"" u'Horrible Bosses 2\xc2'
 u""We're the Millers\xc2"" u'Horrible Bosses\xc2' u'Identity Thief\xc2'
 u'Analyze This\xc2' u'Naked Gun 33 1/3: The Final Insult\xc2'
 u""What's the Worst That Could Happen?\xc2"" u'Stealing Harvard\xc2'
 u""King's Ransom\xc2"" u'The Whole Nine Yards\xc2'
 u'The Naked Gun 2\xc2_: The Smell of Fear\xc2' u'The Crew\xc2'
 u'White Chicks\xc2' u'Bullets Over Broadway\xc2' u""We're No Angels\xc2""
 u'Austin Powers: International Man of Mystery\xc2'
 u'Small Time Crooks\xc2' u'Catch That Kid\xc2' u'Twins\xc2'
 u""Malibu's Most Wanted\xc2"" u'The Big Lebowski\xc2'
 u'Seven Psychopaths\xc2' u'Project X\xc2' u'Screwed\xc2'
 u'Welcome to Collinwood\xc2' u'Snatch\xc2' u'My Cousin Vinny\xc2'
 u'Corky Romano\xc2' u'Reno 911!: Miami\xc2'
 u'Police Academy: Mission to Moscow\xc2' u'Half Baked\xc2'
 u'Clay Pigeons\xc2' u'Witless Protection\xc2' u'Go\xc2'
 u""Let's Kill Ward's Wife\xc2"" u'The Jerky Boys\xc2'
 u""Let's Go to Prison\xc2"" u'8 Heads in a Duffel Bag\xc2'
 u'Lock, Stock and Two Smoking Barrels\xc2' u'Safe Men\xc2'
 u'Crazy Stone\xc2']"
571,Comedy|Crime|Drama,"[u'Flawless\xc2' u'Pain & Gain\xc2' u'Nurse Betty\xc2'
 u""Madea's Witness Protection\xc2"" u'To Die For\xc2' u'Bad Santa\xc2'
 u'Observe and Report\xc2' u'Madea Goes to Jail\xc2' u'Lilyhammer\xc2'
 u'In Bruges\xc2' u'Crazy in Alabama\xc2' u'Faithful\xc2' u'Dope\xc2'
 u'Dom Hemingway\xc2' u'Bernie\xc2' u'11:14\xc2' u'The Sting\xc2'
 u'Bottle Rocket\xc2' u'Spun\xc2' u'Four Lions\xc2' u'Defendor\xc2'
 u'Super\xc2' u'Small Apartments\xc2' u'Down Terrace\xc2']"
572,Comedy|Crime|Drama|Horror|Mystery|Thriller,[u'Some Guy Who Kills People\xc2']
573,Comedy|Crime|Drama|Horror|Thriller,[u'Cheap Thrills\xc2']
574,Comedy|Crime|Drama|Music|Romance,[u'ATL\xc2']
575,Comedy|Crime|Drama|Mystery,[u'Volver\xc2']
576,Comedy|Crime|Drama|Mystery|Romance,[u'Inherent Vice\xc2' u'Bones\xc2' u'The Barbarian Invasions\xc2']
577,Comedy|Crime|Drama|Mystery|Thriller,[u'Zero Effect\xc2']
578,Comedy|Crime|Drama|Romance,"[u'Bandits\xc2' u'Focus\xc2' u'Dear Wendy\xc2' u""Buffalo '66\xc2""]"
579,Comedy|Crime|Drama|Romance|Thriller,"[u'A Thin Line Between Love and Hate\xc2' u'Alias Betty\xc2'
 u'Harvard Man\xc2']"
580,Comedy|Crime|Drama|Sci-Fi,[u'Robot & Frank\xc2']
581,Comedy|Crime|Drama|Thriller,"[u'Striptease\xc2' u'Death to Smoochy\xc2' u'Hackers\xc2'
 u'The Informant!\xc2' u'The Matador\xc2' u'Novocaine\xc2' u'Made\xc2'
 u'Freeway\xc2']"
582,Comedy|Crime|Drama|Thriller|War,[u'Buffalo Soldiers\xc2']
583,Comedy|Crime|Family,"[u""Max Keeble's Big Move\xc2"" u'The R.M.\xc2']"
584,Comedy|Crime|Family|Mystery|Romance|Thriller,[u'Nancy Drew\xc2']
585,Comedy|Crime|Family|Romance,[u'New York Minute\xc2']
586,Comedy|Crime|Family|Sci-Fi,[u'Baby Geniuses\xc2']
587,Comedy|Crime|Horror,[u'Pink Flamingos\xc2']
588,Comedy|Crime|Horror|Thriller,[u'The Cottage\xc2']
589,Comedy|Crime|Music,[u'Be Cool\xc2' u'Connie and Carla\xc2' u'The Janky Promoters\xc2']
590,Comedy|Crime|Musical,[u'Chicago\xc2']
591,Comedy|Crime|Musical|Mystery,[u'The Singing Detective\xc2']
592,Comedy|Crime|Musical|Romance,[u'8 Women\xc2']
593,Comedy|Crime|Mystery,"[u'Drowning Mona\xc2' u'Kiss Kiss Bang Bang\xc2'
 u'The Return of the Pink Panther\xc2' u'Psych\xc2' u'Scoop\xc2'
 u'Super Troopers\xc2']"
594,Comedy|Crime|Mystery|Romance,[u'The Curse of the Jade Scorpion\xc2']
595,Comedy|Crime|Romance,"[u'Intolerable Cruelty\xc2' u'Gigli\xc2' u'Legal Eagles\xc2'
 u'Mickey Blue Eyes\xc2' u'Heartbreakers\xc2' u'Saving Silverman\xc2'
 u'Gun Shy\xc2' u'Extract\xc2' u'Lucky Break\xc2' u'Shooting Fish\xc2'
 u'Happy, Texas\xc2']"
596,Comedy|Crime|Romance|Thriller,[u'Duplicity\xc2' u'Date Night\xc2' u'You Kill Me\xc2']
597,Comedy|Crime|Sci-Fi|Thriller,[u'Repo Man\xc2']
598,Comedy|Crime|Sport,[u'The Longest Yard\xc2']
599,Comedy|Crime|Thriller,"[u'Big Trouble\xc2' u'The Ladykillers\xc2' u'Get Shorty\xc2'
 u'The Whole Ten Yards\xc2' u'Mad Money\xc2' u'Serial Mom\xc2'
 u'Birthday Girl\xc2' u'Very Bad Things\xc2' u'Cecil B. DeMented\xc2'
 u'The Swindle\xc2' u'Ca$h\xc2' u'The Guard\xc2' u'Freaky Deaky\xc2'
 u'Jawbreaker\xc2' u'The Perfect Host\xc2']"
600,Comedy|Documentary,"[u'Jackass: The Movie\xc2' u'The Original Kings of Comedy\xc2'
 u'DysFunktional Family\xc2' u'Kevin Hart: Let Me Explain\xc2'
 u'The Greatest Movie Ever Sold\xc2' u'Certifiably Jonathan\xc2'
 u'Kevin Hart: Laugh at My Pain\xc2']"
601,Comedy|Documentary|Drama,[u'Super Size Me\xc2']
602,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,[u'What the #$*! Do We (K)now!?\xc2']
603,Comedy|Documentary|Music,"[u""Dave Chappelle's Block Party\xc2""]"
604,Comedy|Documentary|War,[u'Religulous\xc2']
605,Comedy|Drama,"[u'Bruce Almighty\xc2' u'The Terminal\xc2' u'Funny People\xc2'
 u'The Dilemma\xc2' u'Due Date\xc2' u'Primary Colors\xc2' u'Edtv\xc2'
 u'Holy Man\xc2' u'Forrest Gump\xc2' u'Stepmom\xc2' u'28 Days\xc2'
 u'The Intern\xc2' u'The Guilt Trip\xc2' u'Hanging Up\xc2'
 u'Drillbit Taylor\xc2' u'Renaissance Man\xc2' u'A Thousand Words\xc2'
 u'Joe Somebody\xc2' u'Burn After Reading\xc2' u'Wonder Boys\xc2'
 u'Big Daddy\xc2' u'About Schmidt\xc2' u'Entourage\xc2'
 u""Barney's Version\xc2"" u'Mumford\xc2' u'The Royal Tenenbaums\xc2'
 u'Our Brand Is Crisis\xc2' u'What Just Happened\xc2'
 u'A Madea Christmas\xc2' u'The Hoax\xc2' u'Carnage\xc2'
 u'Little White Lies\xc2' u'Anywhere But Here\xc2'
 u'The Hundred-Foot Journey\xc2' u'Delivery Man\xc2' u'Swing Vote\xc2'
 u'The Descendants\xc2' u'This Is Where I Leave You\xc2'
 u'Georgia Rule\xc2' u'The Weather Man\xc2' u'Burnt\xc2'
 u'I Can Do Bad All by Myself\xc2' u'Adaptation.\xc2'
 u'Barbershop 2: Back in Business\xc2' u'The Best Man Holiday\xc2'
 u'Dead Poets Society\xc2' u'The Women\xc2' u'Why Did I Get Married?\xc2'
 u'Wag the Dog\xc2' u'Crooklyn\xc2' u'St. Vincent\xc2' u'Barbershop\xc2'
 u'Crossroads\xc2' u'The Upside of Anger\xc2' u'Young Adult\xc2'
 u'Celebrity\xc2' u'Running with Scissors\xc2' u'Girl 6\xc2'
 u'The Dangerous Lives of Altar Boys\xc2' u'Critical Care\xc2'
 u'A Woman, a Gun and a Noodle Shop\xc2' u'Quartet\xc2'
 u'There Goes My Baby\xc2' u'The Best Exotic Marigold Hotel\xc2'
 u'Friday After Next\xc2' u'The Banger Sisters\xc2' u'Rushmore\xc2'
 u'The Second Best Exotic Marigold Hotel\xc2' u'Bad Words\xc2'
 u'Jeff, Who Lives at Home\xc2' u""While We're Young\xc2""
 u'The Joneses\xc2' u'Imaginary Heroes\xc2' u""World's Greatest Dad\xc2""
 u'The Open Road\xc2' u'Motherhood\xc2' u'Eulogy\xc2' u'The Best Man\xc2'
 u'The Savages\xc2' u'Igby Goes Down\xc2' u'Election\xc2'
 u'Little Miss Sunshine\xc2' u'Prom\xc2' u'Another Year\xc2'
 u'Soul Food\xc2' u'Thank You for Smoking\xc2' u'Magic Mike\xc2'
 u'Jumping the Broom\xc2' u'A Serious Man\xc2' u'Somewhere\xc2'
 u'The Chumscrubber\xc2' u'The Four Seasons\xc2' u'The Brothers\xc2'
 u'City Island\xc2' u'Wish I Was Here\xc2' u""L'auberge espagnole\xc2""
 u'Ghost World\xc2' u'Mambo Italiano\xc2' u'Le Havre\xc2' u'R100\xc2'
 u'A Room for Romeo Brass\xc2' u'Instructions Not Included\xc2'
 u'The Way Way Back\xc2' u'Our Idiot Brother\xc2' u'The Players Club\xc2'
 u'Diner\xc2' u'Sunshine Cleaning\xc2' u'Saved!\xc2' u'UHF\xc2'
 u'Slums of Beverly Hills\xc2' u'Bottle Shock\xc2'
 u'Everything Must Go\xc2' u""Should've Been Romeo\xc2"" u'Soul Kitchen\xc2'
 u'Tristram Shandy: A Cock and Bull Story\xc2' u'Driving Lessons\xc2'
 u'Treading Water\xc2' u'Fast Times at Ridgemont High\xc2'
 u'Life During Wartime\xc2' u'Paa\xc2'
 u'Love and Death on Long Island\xc2' u'The Kids Are All Right\xc2'
 u'Thumbsucker\xc2' u'Mondays in the Sun\xc2' u'Another Happy Day\xc2'
 u'The History Boys\xc2' u'Friday\xc2' u'Winter Passing\xc2' u'Choke\xc2'
 u'Real Women Have Curves\xc2' u'East Is East\xc2' u'Please Give\xc2'
 u'Happiness\xc2' u'Just Looking\xc2' u'Pocketful of Miracles\xc2'
 u'The Dress\xc2' u'Elling\xc2' u'Smoke Signals\xc2'
 u'Me and You and Everyone We Know\xc2' u'Clockwatchers\xc2'
 u'House of D\xc2' u'Saint John of Las Vegas\xc2' u'Wings\xc2'
 u'All Is Bright\xc2' u""Straight A's\xc2"" u'Dysfunctional Friends\xc2'
 u'Foolish\xc2' u'Mr. Smith Goes to Washington\xc2'
 u'The Squid and the Whale\xc2' u'The Salon\xc2'
 u'Once Upon a Time in Queens\xc2' u'Closer to the Moon\xc2'
 u'Trees Lounge\xc2' u'The Amazing Catfish\xc2'
 u""But I'm a Cheerleader\xc2"" u'The Second Mother\xc2'
 u'Blue Like Jazz\xc2' u'The Knife of Don Juan\xc2'
 u'Rocket Singh: Salesman of the Year\xc2' u'The Skeleton Twins\xc2'
 u'Obvious Child\xc2' u'Two Girls and a Guy\xc2'
 u'Dream with the Fishes\xc2' u'Lisa Picard Is Famous\xc2'
 u'The Last Big Thing\xc2' u'Sparkler\xc2' u'The Jimmy Show\xc2'
 u'Hits\xc2' u'Welcome to the Dollhouse\xc2' u'Walter\xc2'
 u'Irreplaceable\xc2' u'The Station Agent\xc2' u'Lonesome Jim\xc2'
 u'Tumbleweeds\xc2' u'Pieces of April\xc2' u'Chuck & Buck\xc2'
 u'The Motel\xc2' u'The Stewardesses\xc2' u'Swingers\xc2'
 u'Shooting the Warwicks\xc2' u""Your Sister's Sister\xc2""
 u'The Mighty\xc2' u'Happy Christmas\xc2' u'The Naked Ape\xc2'
 u'Funny Ha Ha\xc2' u'In the Company of Men\xc2' u'Slacker\xc2'
 u'Newlyweds\xc2' u'Signed Sealed Delivered\xc2']"
606,Comedy|Drama|Family,"[u'Marley & Me\xc2' u'We Bought a Zoo\xc2' u'Babe\xc2'
 u'Secondhand Lions\xc2' u'Martian Child\xc2' u'Simon Birch\xc2'
 u'3 Men and a Baby\xc2' u'Because of Winn-Dixie\xc2'
 u'Harriet the Spy\xc2' u'Driving Miss Daisy\xc2' u""Losin' It\xc2""
 u'Eye of the Dolphin\xc2' u'Dancer, Texas Pop. 81\xc2'
 u'Modern Times\xc2' u'Growing Up Smith\xc2']"
607,Comedy|Drama|Family|Fantasy,"[u'Imagine That\xc2' u'The Odd Life of Timothy Green\xc2'
 u'The Santa Clause\xc2']"
608,Comedy|Drama|Family|Fantasy|Musical,[u'The Muppet Christmas Carol\xc2']
609,Comedy|Drama|Family|Fantasy|Romance,[u'17 Again\xc2' u'Big\xc2']
610,Comedy|Drama|Family|Fantasy|Sci-Fi,[u'Good Boy!\xc2']
611,Comedy|Drama|Family|Musical,[u'Annie\xc2']
612,Comedy|Drama|Family|Music|Musical|Romance,"[u'Hairspray\xc2' u'High School Musical 3: Senior Year\xc2'
 u'High School Musical 2\xc2' u'High School Musical\xc2']"
613,Comedy|Drama|Family|Music|Romance,[u'Hannah Montana: The Movie\xc2' u'Bandslam\xc2']
614,Comedy|Drama|Family|Romance,"[u'The Sisterhood of the Traveling Pants 2\xc2' u'Mrs. Doubtfire\xc2'
 u'The Sisterhood of the Traveling Pants\xc2' u'What a Girl Wants\xc2'
 u'My Girl\xc2' u'Christmas Mail\xc2']"
615,Comedy|Drama|Family|Sport,"[u'The Bad News Bears\xc2' u'Ice Princess\xc2' u'The Perfect Game\xc2'
 u'The Mighty Ducks\xc2' u'Air Bud\xc2']"
616,Comedy|Drama|Fantasy,"[u'Scrooged\xc2' u'The Fisher King\xc2' u'Being John Malkovich\xc2'
 u'Dead Like Me: Life After Death\xc2']"
617,Comedy|Drama|Fantasy|Horror,[u'Trollhunter\xc2']
618,Comedy|Drama|Fantasy|Music|Romance,[u'The Good Night\xc2']
619,Comedy|Drama|Fantasy|Romance,"[u'Click\xc2' u'The Family Man\xc2' u'Practical Magic\xc2'
 u'Shallow Hal\xc2' u'Stranger Than Fiction\xc2' u'Ghost Town\xc2'
 u'The Tempest\xc2' u'Peggy Sue Got Married\xc2' u'Sliding Doors\xc2'
 u'Simply Irresistible\xc2' u'Wristcutters: A Love Story\xc2']"
620,Comedy|Drama|History|Musical|Romance,[u'She Done Him Wrong\xc2']
621,Comedy|Drama|History|Romance,[u'Rang De Basanti\xc2']
622,Comedy|Drama|Horror,[u'Tusk\xc2']
623,Comedy|Drama|Horror|Romance,"[u""It's a Wonderful Afterlife\xc2"" u'Baghead\xc2']"
624,Comedy|Drama|Horror|Sci-Fi,[u'The Host\xc2' u'Fido\xc2']
625,Comedy|Drama|Horror|Sci-Fi|Thriller,[u'BrainDead\xc2']
626,Comedy|Drama|Music,"[u'Pirate Radio\xc2' u'Soul Men\xc2' u'Taking Woodstock\xc2' u'Duets\xc2'
 u'Magic Mike XXL\xc2' u'La Famille B\xc3\xa9lier\xc2'
 u'A Prairie Home Companion\xc2' u'Danny Collins\xc2' u'Bamboozled\xc2'
 u'Masked and Anonymous\xc2' u'Rudderless\xc2' u'The Full Monty\xc2'
 u'Krush Groove\xc2' u'That Thing You Do!\xc2'
 u'Beyond the Valley of the Dolls\xc2' u'American Graffiti\xc2'
 u'Theresa Is a Mother\xc2']"
627,Comedy|Drama|Musical,[u'Bran Nue Dae\xc2' u'School Daze\xc2']
628,Comedy|Drama|Musical|Romance,"[u'Rock of Ages\xc2' u'Fame\xc2' u'Yeh Jawaani Hai Deewani\xc2'
 u'Bride & Prejudice\xc2' u'The Last Five Years\xc2']"
629,Comedy|Drama|Musical|Romance|War,[u'Darling Lili\xc2']
630,Comedy|Drama|Musical|Romance|Western,[u'Paint Your Wagon\xc2']
631,Comedy|Drama|Music|Musical,[u'All That Jazz\xc2' u'Hedwig and the Angry Inch\xc2']
632,Comedy|Drama|Music|Musical|Romance,[u'Sweet Charity\xc2']
633,Comedy|Drama|Music|Romance,"[u'Coyote Ugly\xc2' u'Drumline\xc2' u'High Fidelity\xc2'
 u""Nick and Norah's Infinite Playlist\xc2"" u'Roll Bounce\xc2'
 u'Brown Sugar\xc2' u'Little Voice\xc2' u'House Party 2\xc2'
 u'As It Is in Heaven\xc2']"
634,Comedy|Drama|Music|War,[u'Mrs Henderson Presents\xc2']
635,Comedy|Drama|Mystery|Romance|Thriller,[u'Sharkskin\xc2']
636,Comedy|Drama|Mystery|Romance|Thriller|War,[u'Bon voyage\xc2']
637,Comedy|Drama|Reality-TV|Romance,"[u'Gone, Baby, Gone\xc2']"
